,Total,,Men,Women,Men,Women,,
,Number of workers,Median weekly earnings,Median weekly earnings,Median weekly earnings,Salary,Salary,,
"Production, planning, and expediting clerks",208,837,"1,024",738,53248,38376,,
Licensed practical and licensed vocational nurses,506,751,868,737,45136,38324,,
Real estate brokers and sales agents,416,852,991,726,51532,37752,,
"Installation, maintenance, and repair occupations","4,231",821,824,725,42848,37700,,
"Total, full-time wage and salary workers","106,526",$791,$871,$719,"$45,292","$37,388",82.55%,-17.45%
"Human resources assistants, except payroll and timekeeping",91,754,-,711,,36972,,
Emergency medical technicians and paramedics,207,754,791,709,41132,36868,,
Insurance sales agents,433,765,946,698,49192,36296,,
Loan interviewers and clerks,131,710,-,692,,35984,,
"Office and administrative support workers, all other",410,731,878,692,45656,35984,,
Construction and extraction occupations,"5,756",756,757,691,39364,35932,,
Miscellaneous health technologists and technicians,92,820,-,690,,35880,,
"Bailiffs, correctional officers, and jailers",392,730,755,687,39260,35724,,
Secretaries and administrative assistants,"2,342",691,811,685,42172,35620,,
Social and human service assistants,142,716,-,673,,34996,,
Dispatchers,234,710,764,669,39728,34788,,
"Sales and related workers, all other",183,807,949,664,49348,34528,,
"Bookkeeping, accounting, and auditing clerks",830,665,732,660,38064,34320,,
First-line supervisors of production and operating workers,766,903,942,659,48984,34268,,
"Information and record clerks, all other",75,660,-,658,,34216,,
Billing and posting clerks,412,642,-,640,,33280,,
Office and administrative support occupations,"13,776",651,701,637,36452,33124,,
Insurance claims and policy processing clerks,275,647,709,632,36868,32864,,
Word processors and typists,77,622,-,629,,32708,,
"Office clerks, general",888,630,662,626,34424,32552,,
Preschool and kindergarten teachers,499,634,-,625,,32500,,
Sales and office occupations,"23,402",666,766,620,39832,32240,,
"Interviewers, except eligibility and loan",124,636,-,620,,32240,,
Health practitioner support technologists and technicians,443,618,618,618,32136,32136,,
Data entry keyers,246,626,673,618,34996,32136,,
Protective service occupations,"2,740",833,886,617,46072,32084,,
File clerks,160,610,-,613,,31876,,
Customer service representatives,"1,550",627,698,606,36296,31512,,
Food service managers,740,704,806,595,41912,30940,,
First-line supervisors of retail sales workers,"2,317",696,793,595,41236,30940,,
Bill and account collectors,146,619,-,592,,30784,,
Bus drivers,327,602,616,582,32032,30264,,
"Inspectors, testers, sorters, samplers, and weighers",675,728,820,578,42640,30056,,
"Shipping, receiving, and traffic clerks",545,592,603,576,31356,29952,,
Order clerks,79,600,-,574,,29848,,
Sales and related occupations,"9,626",705,841,570,43732,29640,,
