,Total,,Men,Women,Men,Women,,
,Number of workers,Median weekly earnings,Median weekly earnings,Median weekly earnings,Salary,Salary,,
Prepress technicians and workers,20,-,-,-,,,,
Printing press operators,173,646,686,-,35672,,,
Print binding and finishing workers,18,-,-,-,,,,
"Pressers, textile, garment, and related materials",30,-,-,-,,,,
Shoe and leather workers and repairers,2,-,-,-,,,,
Shoe machine operators and tenders,1,-,-,-,,,,
"Tailors, dressmakers, and sewers",42,-,-,-,,,,
Textile bleaching and dyeing machine operators and tenders,3,-,-,-,,,,
"Textile cutting machine setters, operators, and tenders",8,-,-,-,,,,
"Textile knitting and weaving machine setters, operators, and tenders",6,-,-,-,,,,
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",12,-,-,-,,,,
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,-,-,-,,,,
Fabric and apparel patternmakers,1,-,-,-,,,,
Upholsterers,22,-,-,-,,,,
"Textile, apparel, and furnishings workers, all other",11,-,-,-,,,,
Cabinetmakers and bench carpenters,30,-,-,-,,,,
Furniture finishers,5,-,-,-,,,,
"Model makers and patternmakers, wood",0,-,-,-,,,,
"Sawing machine setters, operators, and tenders, wood",27,-,-,-,,,,
"Woodworking machine setters, operators, and tenders, except sawing",19,-,-,-,,,,
"Woodworkers, all other",16,-,-,-,,,,
"Power plant operators, distributors, and dispatchers",47,-,-,-,,,,
Stationary engineers and boiler operators,93,"1,044","1,051",-,54652,,,
Water and wastewater treatment plant and system operators,69,833,835,-,43420,,,
Miscellaneous plant and system operators,39,-,-,-,,,,
"Chemical processing machine setters, operators, and tenders",55,818,831,-,43212,,,
"Crushing, grinding, polishing, mixing, and blending workers",67,686,694,-,36088,,,
Cutting workers,43,-,-,-,,,,
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",39,-,-,-,,,,
"Furnace, kiln, oven, drier, and kettle operators and tenders",11,-,-,-,,,,
Jewelers and precious stone and metal workers,24,-,-,-,,,,
"Medical, dental, and ophthalmic laboratory technicians",71,626,-,-,,,,
Painting workers,132,694,703,-,36556,,,
Photographic process workers and processing machine operators,21,-,-,-,,,,
Semiconductor processors,1,-,-,-,,,,
Adhesive bonding machine operators and tenders,5,-,-,-,,,,
"Cleaning, washing, and metal pickling equipment operators and tenders",5,-,-,-,,,,
Cooling and freezing equipment operators and tenders,4,-,-,-,,,,
Etchers and engravers,9,-,-,-,,,,
"Molders, shapers, and casters, except metal and plastic",21,-,-,-,,,,
"Paper goods machine setters, operators, and tenders",29,-,-,-,,,,
Tire builders,11,-,-,-,,,,
Helpers--production workers,42,-,-,-,,,,
Supervisors of transportation and material moving workers,181,829,925,-,48100,,,
Aircraft pilots and flight engineers,113,"1,427","1,446",-,75192,,,
Air traffic controllers and airfield operations specialists,31,-,-,-,,,,
Flight attendants,65,857,-,-,,,,
"Ambulance drivers and attendants, except emergency medical technicians",15,-,-,-,,,,
Taxi drivers and chauffeurs,250,608,609,-,31668,,,
"Motor vehicle operators, all other",26,-,-,-,,,,
Locomotive engineers and operators,56,"1,187","1,197",-,62244,,,
"Railroad brake, signal, and switch operators",8,-,-,-,,,,
Railroad conductors and yardmasters,48,-,-,-,,,,
"Subway, streetcar, and other rail transportation workers",16,-,-,-,,,,
Sailors and marine oilers,21,-,-,-,,,,
Ship and boat captains and operators,38,-,-,-,,,,
Ship engineers,7,-,-,-,,,,
Bridge and lock tenders,5,-,-,-,,,,
Parking lot attendants,60,440,441,-,22932,,,
Automotive and watercraft service attendants,77,512,518,-,26936,,,
Transportation inspectors,53,909,-,-,,,,
"Transportation attendants, except flight attendants",24,-,-,-,,,,
Other transportation workers,21,-,-,-,,,,
Conveyor operators and tenders,7,-,-,-,,,,
Crane and tower operators,73,959,959,-,49868,,,
"Dredge, excavating, and loading machine operators",30,-,-,-,,,,
Hoist and winch operators,6,-,-,-,,,,
Industrial truck and tractor operators,534,594,595,-,30940,,,
Cleaners of vehicles and equipment,255,482,480,-,24960,,,
Machine feeders and offbearers,14,-,-,-,,,,
Pumping station operators,21,-,-,-,,,,
Refuse and recyclable material collectors,54,550,564,-,29328,,,
Mine shuttle car operators,1,-,-,-,,,,
"Tank car, truck, and ship loaders",6,-,-,-,,,,
"Material moving workers, all other",39,-,-,-,,,,
"NOTE: Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,,,,,,
